Symbol,Date,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares,Close,Volume,Research Development_lag_1,Research Development_lag_2,Effect Of Accounting Charges_lag_1,Effect Of Accounting Charges_lag_2,Income Before Tax_lag_1,Income Before Tax_lag_2,Minority Interest_lag_1,Minority Interest_lag_2,Net Income_lag_1,Net Income_lag_2,Selling General Administrative_lag_1,Selling General Administrative_lag_2,Gross Profit_lag_1,Gross Profit_lag_2,Ebit_lag_1,Ebit_lag_2,Operating Income_lag_1,Operating Income_lag_2,Other Operating Expenses_lag_1,Other Operating Expenses_lag_2,Interest Expense_lag_1,Interest Expense_lag_2,Extraordinary Items_lag_1,Extraordinary Items_lag_2,Non Recurring_lag_1,Non Recurring_lag_2,Other Items_lag_1,Other Items_lag_2,Income Tax Expense_lag_1,Income Tax Expense_lag_2,Total Revenue_lag_1,Total Revenue_lag_2,Total Operating Expenses_lag_1,Total Operating Expenses_lag_2,Cost Of Revenue_lag_1,Cost Of Revenue_lag_2,Total Other Income Expense Net_lag_1,Total Other Income Expense Net_lag_2,Discontinued Operations_lag_1,Discontinued Operations_lag_2,Net Income From Continuing Ops_lag_1,Net Income From Continuing Ops_lag_2,Net Income Applicable To Common Shares_lag_1,Net Income Applicable To Common Shares_lag_2,Close_lag_1,Close_lag_2,Volume_lag_1,Volume_lag_2,FutureDirection
ILPT,2019-12-31,0.0,0,52669000.0,0.0,52498000.0,17189000.0,198867000.0,102108000.0,102108000.0,17643000.0,-50848000.0,0,0,0,171000.0,229234000.0,127126000.0,30367000.0,-49439000.0,0.0,52498000.0,52498000.0,20.202516555786133,571600.0,0.0,0.0,0.0,0.0,74420000.0,80147000.0,0.0,0.0,74388000.0,80103000.0,11307000.0,16799000.0,143188000.0,137613000.0,90301000.0,82586000.0,90301000.0,82586000.0,13005000.0,10913000.0,-16081000.0,-2439000.0,0.0,0.0,0.0,0.0,0.0,0.0,32000.0,44000.0,162530000.0,156506000.0,72229000.0,73920000.0,19342000.0,18893000.0,-15881000.0,-2439000.0,0.0,0.0,74388000.0,80103000.0,74388000.0,80103000.0,16.626567840576172,18.916364669799805,718100.0,7513400.0,1.1071705770153277
IMBI,2020-02-01,0.0,0,-56285000.0,0.0,-56296000.0,195951000.0,163637000.0,-40371000.0,-40371000.0,0.0,-3777000.0,0,0,0,11000.0,501822000.0,542193000.0,338185000.0,-15914000.0,0.0,-56296000.0,-56296000.0,3.6500000953674316,34800.0,0.0,0.0,0.0,0.0,-22092000.0,-3302000.0,0.0,0.0,-22157000.0,143000.0,217800000.0,224490000.0,206847000.0,235112000.0,-17196000.0,4252000.0,-17196000.0,4252000.0,0.0,0.0,-3502000.0,-5084000.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,-3445000.0,596637000.0,648220000.0,613833000.0,643968000.0,389790000.0,413108000.0,-4896000.0,-7554000.0,0.0,0.0,-22157000.0,143000.0,-22157000.0,143000.0,5.599999904632568,12.0,10740.0,16100.0,1.578082213255942
IMGN,2019-12-31,0.0,0,-104133000.0,0.0,-104133000.0,38489000.0,-32251000.0,-70740000.0,-70740000.0,0.0,-16974000.0,0,0,0,0.0,82271000.0,153011000.0,114522000.0,-33393000.0,0.0,-104133000.0,-104133000.0,5.110000133514404,2889100.0,0.0,0.0,0.0,0.0,-168843000.0,-96012000.0,0.0,0.0,-168843000.0,-96012000.0,36746000.0,33911000.0,-121010000.0,-24292000.0,-157756000.0,-58203000.0,-157756000.0,-58203000.0,0.0,0.0,-10726000.0,-16722000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53446000.0,115447000.0,211202000.0,173650000.0,174456000.0,139739000.0,-11087000.0,-37809000.0,0.0,0.0,-168843000.0,-96012000.0,-168843000.0,-96012000.0,4.800000190734863,6.989999771118164,2127800.0,3342200.0,1.2622308494597136
IMKTA,2020-09-26,0.0,0,235044433.0,0.0,178601433.0,906749183.0,1198251910.0,291502727.0,291502727.0,0.0,-40529096.0,0,0,0,56443000.0,4610609025.0,4319106298.0,3412357115.0,-56458294.0,0.0,178601433.0,178601433.0,35.996734619140625,87900.0,0.0,0.0,0.0,0.0,106598002.0,80318628.0,0.0,0.0,81580002.0,97364628.0,873859464.0,856074106.0,1022000212.0,980169361.0,148140748.0,124095255.0,148140748.0,124095255.0,0.0,0.0,-47410104.0,-47569703.0,0.0,0.0,0.0,0.0,0.0,0.0,25018000.0,-17046000.0,4202033610.0,4092804877.0,4053892862.0,3968709622.0,3180033398.0,3112635516.0,-41542746.0,-43776627.0,0.0,0.0,81580002.0,97364628.0,81580002.0,97364628.0,37.692447662353516,32.52281951904297,42300.0,46000.0,1.8193316298458468
IMMP,2020-06-30,0.0,0,-13468195.0,0.0,-13468232.0,6338652.0,-8733365.0,-15072017.0,-15072017.0,0.0,-10457.0,0,0,0,37.0,13739283.0,28811300.0,22472648.0,1603822.0,0.0,-13468232.0,-13468232.0,1.0800000429153442,83800.0,0.0,0.0,0.0,0.0,-18343984.0,-12744344.0,0.0,0.0,-18343984.0,-12746020.0,6366161.0,7242061.0,-10953990.0,-3136227.0,-19199302.0,-12187217.0,-19199302.0,-12187217.0,0.0,0.0,-10457.0,-10457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1676.0,5637211.0,6853603.0,24836513.0,19040820.0,16591201.0,9989830.0,855318.0,-557127.0,0.0,0.0,-18343984.0,-12746020.0,-18343984.0,-12746020.0,1.7200000286102295,2.380000114440918,8100.0,31100.0,3.583333084980657
IMMR,2019-12-31,0.0,0,-19573000.0,0.0,-20044000.0,49394000.0,27943000.0,-21451000.0,-21451000.0,0.0,0.0,0,0,0,471000.0,35953000.0,57404000.0,8010000.0,1878000.0,0.0,-20044000.0,-20044000.0,7.429999828338623,378500.0,0.0,0.0,0.0,0.0,54735000.0,-44811000.0,0.0,0.0,54343000.0,-45291000.0,47933000.0,66859000.0,101034000.0,23057000.0,53101000.0,-43802000.0,53101000.0,-43802000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392000.0,480000.0,110979000.0,35013000.0,57878000.0,78815000.0,9945000.0,11956000.0,1634000.0,-1009000.0,0.0,0.0,54343000.0,-45291000.0,54343000.0,-45291000.0,8.960000038146973,7.090000152587891,187800.0,431800.0,1.5195155077651616
IMOS,2019-12-31,1007631000.0,0,3030319000.0,0.0,2584161000.0,554317000.0,3926139000.0,2436351000.0,2436351000.0,-72160000.0,-171075000.0,0,0,0,446158000.0,20337881000.0,17901530000.0,16411742000.0,593968000.0,0.0,2584161000.0,2584161000.0,21.404199600219727,49600.0,939269000.0,985873000.0,0.0,0.0,1782442000.0,1532416000.0,0.0,0.0,1325824000.0,2796882000.0,538519000.0,704206000.0,3429995000.0,3237126000.0,2085300000.0,1621202000.0,2085300000.0,1621202000.0,-133093000.0,-74155000.0,-152416000.0,-190425000.0,0.0,0.0,0.0,0.0,0.0,0.0,456618000.0,550487000.0,18480027000.0,17940855000.0,16394727000.0,16319653000.0,15050032000.0,14703729000.0,-302858000.0,-88786000.0,0.0,1814953000.0,1325824000.0,981929000.0,1325824000.0,2796882000.0,15.266677856445312,14.81428337097168,19300.0,43500.0,1.1376272337331297
IMRN,2020-06-30,1178685.0,0,-2927206.0,0.0,-2927206.0,4041629.0,1829730.0,-3071814.0,-3071814.0,-318770.0,-21631.0,0,0,0,0.0,2518566.0,5590380.0,688836.0,144608.0,0.0,-2927206.0,-2927206.0,7.429999828338623,149500.0,1044528.0,2257224.0,0.0,0.0,-4656421.0,-3010929.0,0.0,0.0,-4656421.0,-3010929.0,5902450.0,4099290.0,1706661.0,1260616.0,-4708267.0,-3246735.0,-4708267.0,-3246735.0,-532050.0,-1849163.0,-21631.0,-24199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2387426.0,1842909.0,7095693.0,5089644.0,680765.0,582293.0,51846.0,235806.0,0.0,0.0,-4656421.0,-3010929.0,-4656421.0,-3010929.0,2.890000104904175,10.15999984741211,21000.0,7800.0,0.6527590870371591
IMTE,2019-12-31,0.0,0,-16582877.0,1805552.0,-15646147.0,3251529.0,-4567645.0,-10980163.0,-10980163.0,-13795.0,-1561625.0,0,0,0,117322.0,1275425.0,12255588.0,5843070.0,-5602714.0,0.0,-16700199.0,-15646147.0,9.180000305175781,1700.0,0.0,0.0,0.0,0.0,-17350280.0,1505453.0,2807963.0,-53851.0,-15962278.0,1695567.0,3464669.0,1489833.0,-1752716.0,1326955.0,-7846882.0,-2405382.0,-7846882.0,-2405382.0,600124.0,221373.0,-1383399.0,-107101.0,0.0,0.0,0.0,0.0,0.0,0.0,-507057.0,-187213.0,1324406.0,5762711.0,9171288.0,8168093.0,3077122.0,4435756.0,-9503398.0,3910835.0,0.0,0.0,-16843223.0,1692666.0,-15962278.0,1695567.0,6.460000038146973,5.599999904632568,9500.0,300.0,0.42483659757272235
IMUX,2019-12-31,22512000.0,0,-34933000.0,0.0,-34933000.0,14520000.0,0.0,-37032000.0,-37032000.0,0.0,0.0,0,0,0,0.0,0.0,37032000.0,0.0,2099000.0,0.0,-34933000.0,-34933000.0,9.699999809265137,38700.0,9595000.0,8753000.0,0.0,0.0,-11542000.0,-9962000.0,0.0,0.0,-11542000.0,-9962000.0,2402000.0,1252000.0,0.0,0.0,-11997000.0,-10005000.0,-11997000.0,-10005000.0,0.0,0.0,-1000.0,-4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11997000.0,10005000.0,0.0,0.0,455000.0,43000.0,0.0,0.0,-11542000.0,-9962000.0,-11542000.0,-9962000.0,7.440000057220459,258.0,19198.0,6683.0,1.5762886868563128
IMV,2019-12-31,0.0,0,-27365000.0,0.0,-27365000.0,10140000.0,-18927000.0,-26635000.0,-26635000.0,-2432000.0,-1239000.0,0,0,0,0.0,59000.0,26694000.0,18986000.0,-730000.0,0.0,-27365000.0,-27365000.0,2.9000000953674316,60500.0,12852000.0,12852000.0,0.0,0.0,-21935000.0,-12027000.0,0.0,0.0,-21935000.0,-12027000.0,9243000.0,6423000.0,-12770000.0,-5905000.0,-20951000.0,-11250000.0,-20951000.0,-11250000.0,-1062000.0,-1078000.0,-1385000.0,-966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82000.0,33000.0,21033000.0,11283000.0,12852000.0,5938000.0,-1603000.0,-777000.0,0.0,0.0,-21935000.0,-12027000.0,-21935000.0,-12027000.0,5.170000076293945,6.15384578704834,1400.0,3432.0,1.0620689042825073
